✅ 18:18:49 | root | Initializing bidirectional synchronizer
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75883400 (PA - (FS) Jatos Ingula 15ml - Cereja) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto PA - (FS) Jatos Ingula 15ml - Cereja (ID: 75883400) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75845448 (PA - (FS) Rala e Rola 150ml - Black Ice) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto PA - (FS) Rala e Rola 150ml - Black Ice (ID: 75845448) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75845447 (PA - (FS) Rala e Rola 150ml - Algodao Doce) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto PA - (FS) Rala e Rola 150ml - Algodao Doce (ID: 75845447) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75845446 (PA - (FS) Jatos Ingula 15ml - Morango com Champanhe) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto PA - (FS) Jatos Ingula 15ml - Morango com Champanhe (ID: 75845446) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75845444 (PA - (FS) Jatos Ingula 15ml -  Leite Condensado) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto PA - (FS) Jatos Ingula 15ml -  Leite Condensado (ID: 75845444) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75845443 (PA - (FS) Cream Lub 4g - Skenta Sfria) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto PA - (FS) Cream Lub 4g - Skenta Sfria (ID: 75845443) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75845441 (PA - (FS) Bisnaga 18g - Xana Hot Crazy) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto PA - (FS) Bisnaga 18g - Xana Hot Crazy (ID: 75845441) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75845434 (PA - (FS) Bisnaga 18g - 100 Dor) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto PA - (FS) Bisnaga 18g - 100 Dor (ID: 75845434) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75281739 (SEDENTA POR GEMIDO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto SEDENTA POR GEMIDO (ID: 75281739) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75281706 (SEDENTA SAFADA) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto SEDENTA SAFADA (ID: 75281706) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75281670 (SEDENTA POR TZÃO) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto SEDENTA POR TZÃO (ID: 75281670) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75212536 (Calcinha Frase Placa Sex Fire) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto Calcinha Frase Placa Sex Fire (ID: 75212536) não pode ser sincronizado. Campos faltando: código interno (SKU)
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 75154781 (CONJUNTO AMOR) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto CONJUNTO AMOR (ID: 75154781) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73803658 (LAP GOTAS  NUEVAS 4G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP GOTAS  NUEVAS 4G (ID: 73803658) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | ProductConverter | ❌ Produto ID: 73803619 (LAP GOTAS  TIEMPO 4G) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
⚠️ 18:19:12 | BidirectionalSynchronizer | ❌ Produto LAP GOTAS  TIEMPO 4G (ID: 73803619) não pode ser sincronizado. Campos faltando: código interno (SKU), descrição, peso, altura, largura, profundidade
